;Pays ;2010;2011;2012;2013;2014;2015
0;Allemagne;100;101.01974388546783;104.48118906989328;105.43093114684214;107.49770018155175;110.5091069687826
1;Espagne;100;104.85479566903996;106.23195755285012;97.38400558902046;97.07523960180463;98.82182121802794
2;France;100;100.89999991741693;106.2578865451231;106.91668481341323;108.1594389882985;109.53866918462671
3;Italie;100;100.10176802556224;96.50546289815337;95.21938752029202;95.78893499136697;95.79692628202149
4;Pays-Bas;100;104.61960248714726;106.3290284341867;103.06659201970949;104.25090585370437;103.31688573074709
5;Royaume-Uni;100;107.54612656454096;104.30063366298812;101.93599359847154;102.71793834745498;103.79078516662683
