;taux de croissance;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
0;dépenses hors crédits d'impôt et hors charge d'intérêts (valeur);4.0114327142936945;5.299770137622528;3.933850042358955;4.039888257810476;4.327526136506132;3.7415283786619957;3.876849238898039;3.2785201601360114;5.138919319596358;2.4832495650865427;1.706910163266806;3.2132181307990892;1.9815168383216397;1.0832228781172182;1.1293520225383213;1.6570538284547132;1.0403450900786426;1.258998828059621;1.5267180318111029
1;dépenses hors crédits d'impôt et hors charge d'intérêts (volume);2.4066275808041215;3.503186381719958;2.000197018315064;2.3265140687523056;2.5449514992816225;1.9987440822919256;2.374273692221762;0.46827984722563887;5.0765699096304795;1.011379247351507;-0.3402097762000178;1.3230483529820702;1.2253754793194904;0.673881575371138;1.1293520225383213;1.5554983301246272;0.039945633741189646;-0.13905441019761433;-0.2194417377777924
