;Categorie;2007;2008;2009;2010;2011;2012;2013;2014;2015
0;Nombre de pays de l'Union européenne sous procédure de déficit excessif (PDE);1;2;17;24;23;23;23;17;11
1;Nombre de pays de l'Union européenne ayant un déficit supérieur à 3 % du PIB;4;12;23;23;18;18;11;14;7
