;Zone;2010;2011;2012;2013;2014;2015
0;Allemagne;-1.9796;-1.369;-0.3864;0.0884;0.719;0.8407
1;Espagne;-7.1012;-6.3949;-3.4431;-2.0079;-1.9008;-2.8821
2;France;-5.7666;-4.9527;-4.1241;-3.3643;-2.6966;-2.42
3;Italie;-3.2999;-3.2588;-1.2361;-0.8768;-1.14;-0.9913
4;Pays-Bas;-3.5311;-3.5865;-2.2891;-0.9935;-0.6342;-0.9358
5;Royaume-Uni;-7.1572;-5.7376;-6.441;-4.4677;-5.1837;-4.5342
6;Zone euro;-4.2437;-3.5939;-2.1316;-1.3941;-1.0212;-1.0024
