;Categorie;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
0;Taux à 3 mois - croissance du PIB;-0.7;-1.1;0.3;0.1;-0.4;-2.4;-1.4;-1.5;-0.7;2.1;4.1;-2.3;-1.7;-0.8;-1.13;-1.0;-2.3;-2.6;-2.4;-2.5;-2.1999999999999997
1;Taux à 10 ans - croissance du PIB;1.0;-0.1;0.9;1.6;1.4;-0.4;-0.2;-0.8;-0.7;1.7;6.5;0.1;0.3;1.2;0.8;0.5;-1.5;-1.5;-0.7;-0.7;-0.39999999999999947
