;en Md€;2010;2011;2012;2013;2014;2015
0;Dépenses;229.8;235.3;244.0;252.2;252.6;249.3
1;Recettes;228.1;234.7;240.5;243.9;248.0;250.0
2;Solde;-1.7;-0.6;-3.5;-8.3;-4.6;0.7
