;En Md€;2010;2011;2012;2013;2014;2015
0;CADES;100.8;156.3;145.7;140.0;138.0;137.8
1;Autres ASSO;74.3;48.3;65.3;71.7;78.7;82.5
2;dont ACOSS;30.7;1.5;10.3;11.1;15.0;13.9
3;dont Unédic;10.1;13.4;16.9;20.6;24.9;29.6
4;TOTAL;175.2;204.6;211.0;211.7;216.7;220.3
5;TOTAL en points de PIB;0.088;0.099;0.101;0.1;0.101;0.101
