;Categorie;2012;2013;2014;2015
0;Ajustement structurel selon la prévision du programme de stabilité d'avril 2016 (en points de PIB);0.9000000000000004;0.8999999999999999;0.5;0.42
1;Ajustement structurel  en LPFP 2014-2019 (décembre 2014) (en points de PIB);0.9000000000000004;1.0;0.10000000000000009;0.2999999999999998
