;Categorie;2010;2011;2012;2013;2014;2015
0;Variation de la charge d'intérêts (en M€);1.1450000000000031;5.9609999999999985;0.22299999999999898;-5.662999999999997;-1.7850000000000037;-2.290999999999997
1;Effet accroissement de la dette publique (en M€);3.066699989992074;3.5599640871366063;3.5090454508297526;2.444431625273417;2.1185117229300303;1.2882634710269585
2;Effet taux d'intérêt apparent (en M€);-1.9216999899920708;2.4010359128633922;-3.2860454508297536;-8.107431625273414;-3.903511722930034;-3.5792634710269553
