;Categorie;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
0;Taux de croissance des dépenses publiques (en volume);0.01973928239688716;0.025627497722882753;0.03598512392955344;0.017338823438574957;0.022503948024068077;0.024953219535295723;0.02081713186294;0.02942963197300208;0.012464627921379812;0.04003924091915345;0.010187344672933696;0.00029900066873822517;0.011083548042877034;0.00869340727068213;0.013614121206585228;0.01366412232409897
1;Taux de croissance des dépenses publiques hors crédits d'impôts (en volume);0.019719613506566702;0.025648327888872835;0.033336782724232794;0.016955991139046445;0.02232153495246947;0.02399997850105784;0.018452036068076216;0.026194775166656692;0.008082272043015593;0.03876422925433487;0.010104461645153773;0.0011401712699192768;0.011932376635205522;0.00946723659866322;0.0056524513704134804;0.00891304040095342
2; ;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;
6; ;;;;;;;;;;;;;;;;
